title,authors,pmid,link
Global Cancer Incidence and Mortality Rates and Trends--An Update.,"Torre LA, Siegel RL, Ward EM, Jemal A.",26667886,https://doi.org/10.1158/1055-9965.epi-15-0578
Measuring cancer evolution from the genome.,"Graham TA, Sottoriva A.",27741350,https://doi.org/10.1002/path.4821
The Role of Telomerase in Breast Cancer's Response to Therapy.,"Judasz E, Lisiak N, Kopczyński P, Taube M, Rubiś B.",36361634,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9654063/
Cancer and cure: A critical analysis.,"Roy PS, Saikia BJ.",28244479,https://doi.org/10.4103/0019-509x.200658
Field cancerization in breast cancer.,"Gadaleta E, Thorn GJ, Ross-Adams H, Jones LJ, Chelala C.",35362092,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9322418/
Tumor microenvironment: recent advances in various cancer treatments.,"Wang JJ, Lei KF, Han F.",29949179,https://doi.org/10.26355/eurrev_201806_15270
What Is Cancer?,Hausman DM.,31761807,https://doi.org/10.1353/pbm.2019.0046
New methods in the diagnosis of cancer and gene therapy of cancer based on nanoparticles.,"Zaimy MA, Saffarzadeh N, Mohammadi A, Pourghadamyari H, Izadi P, Sarli A, Moghaddam LK, Paschepari SR, Azizi H, Torkamandi S, Tavakkoly-Bazzaz J.",28574057,https://doi.org/10.1038/cgt.2017.16
Cancer's new normal.,Dolgin E.,35121920,https://doi.org/10.1038/s43018-021-00304-7
[Lucy's cancer(s): A prehistorical origin?].,"Chene G, Lamblin G, Le Bail-Carval K, Beaufils E, Chabert P, Gaucherand P, Mellier G, Coppens Y.",27839715,https://doi.org/10.1016/j.gyobfe.2016.10.001
Addressing cancer's grand challenges.,Mullard A.,33173229,https://doi.org/10.1038/d41573-020-00202-0
Epidemiology of Cancer.,Schwartz SM.,38175589,https://doi.org/10.1093/clinchem/hvad202
Recent Updates on the Relationship between Cancer and Autoimmune Pancreatitis.,"Okamoto A, Watanabe T, Kamata K, Minaga K, Kudo M.",30713326,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc6599917/
Cancer-associated fibroblasts in tumor microenvironment - Accomplices in tumor malignancy.,"Liao Z, Tan ZW, Zhu P, Tan NS.",29397066,https://doi.org/10.1016/j.cellimm.2017.12.003
Cancer's sensory experience.,Dart A.,35732743,https://doi.org/10.1038/s41568-022-00492-z
Cancer prevention: from 1727 to milestones of the past 100 years.,"Lippman SM, Hawk ET.",19491253,https://doi.org/10.1158/0008-5472.can-09-1750
"Signaling, metabolism, and cancer: An important relationship for therapeutic intervention.","Vaghari-Tabari M, Ferns GA, Qujeq D, Andevari AN, Sabahi Z, Moein S.",33580511,https://doi.org/10.1002/jcp.30276
"Clinical, Prognostic and Therapeutic Significance of Heat Shock Proteins in Cancer.","Saini J, Sharma PK.",28831912,https://doi.org/10.2174/1389450118666170823121248
Tertiary lymphoid structures are critical for cancer prognosis and therapeutic response.,"Zhang Q, Wu S.",36713409,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9875059/
Detection of Cancer DNA in Early Stage and Metastatic Breast Cancer Patients.,"Medford AJ, Gillani RN, Park BH.",29717446,https://doi.org/10.1007/978-1-4939-7778-9_13
Bioinformatics analysis of prognostic value and immunological role of MeCP2 in pan-cancer.,"Wang Y, Zhang Y, Wang F, Li T, Song X, Shi H, Du J, Zhang H, Jing H, Han J, Tong D, Zhang J.",36323715,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9630441/
Unraveling cancer lineage drivers in squamous cell carcinomas.,"Guan Y, Wang G, Fails D, Nagarajan P, Ge Y.",31836455,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc6995404/
Cancer's Moonshot.,Sender LS.,26891021,https://doi.org/10.1089/jayao.2016.29002.lss
Sex differences in cancer risk and outcomes after kidney transplantation.,"Buxeda A, Redondo-Pachón D, Pérez-Sáez MJ, Crespo M, Pascual J.",34020178,https://doi.org/10.1016/j.trre.2021.100625
Cancer--an ayurvedic perspective.,"Balachandran P, Govindarajan R.",15519531,https://doi.org/10.1016/j.phrs.2004.04.010
Measuring Clonal Evolution in Cancer with Genomics.,"Williams MJ, Sottoriva A, Graham TA.",31059289,https://doi.org/10.1146/annurev-genom-083117-021712
Fibrosis and cancer: shared features and mechanisms suggest common targeted therapeutic approaches.,"Landolt L, Spagnoli GC, Hertig A, Brocheriou I, Marti HP.",33280031,https://doi.org/10.1093/ndt/gfaa301
Ligand-based active targeting strategies for cancer theranostics.,"Bandyopadhyay A, Das T, Nandy S, Sahib S, Preetam S, Gopalakrishnan AV, Dey A.",37466702,https://doi.org/10.1007/s00210-023-02612-4
Focal photodynamic intracellular acidification as a cancer therapeutic.,"Gdovin MJ, Kadri N, Rios L, Holliday S, Jordan Z.",28215969,https://doi.org/10.1016/j.semcancer.2017.02.005
Exploring animal models in oral cancer research and clinical intervention: A critical review.,"Khayatan D, Hussain A, Tebyaniyan H.",37196179,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc10357283/
Decoding human cancer with whole genome sequencing: a review of PCAWG Project studies published in February 2020.,Giunta S.,34097189,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc8180541/
"Field Cancerization Is Associated with Tumor Development, T-cell Exhaustion, and Clinical Outcomes in Bladder Cancer.","Strandgaard T, Nordentoft I, Birkenkamp-Demtröder K, Salminen L, Prip F, Rasmussen J, Andreasen TG, Lindskrog SV, Christensen E, Lamy P, Knudsen M, Steiniche T, Jensen JB, Dyrskjøt L.",37718188,https://doi.org/10.1016/j.eururo.2023.07.014
Uncovering cancer's secrets: could liquid biopsies and artificial intelligence hold the answers?,Parker J.,37317873,https://doi.org/10.2217/fon-2023-0428
A Truckstop on Cancer's Road.,Gulati GS.,35581457,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9411294/
Cancer clusters in the USA: what do the last twenty years of state and federal investigations tell us?,"Goodman M, Naiman JS, Goodman D, LaKind JS.",22519802,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc3408895/
Cancer's Fuel Choice: New Flavors for a Picky Eater.,"DeNicola GM, Cantley LC.",26590711,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc4676726/
Cancer in Jews: introduction and overview.,"Lynch HT, Rubinstein WS, Locker GY.",15516840,https://doi.org/10.1007/s10689-004-9538-y
Cancer driver mutations in protein kinase genes.,"Torkamani A, Verkhivker G, Schork NJ.",19081671,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2905872/
Finding cancer's weakest link.,"Sodir NM, Evan GI.",22202195,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc3282087/
Potential therapeutic applications of microRNAs in cancer diagnosis and treatment: Sharpening a double-edged sword?,"Abdel Rhman M, Pmo O.",35981607,https://doi.org/10.1016/j.ejphar.2022.175210
